[ ID]	Interval	Transfer	Bandwidth
[  4]	0.00-1.00sec	6.88 MBytes	57.7 Mbits/sec                  
[  4]	1.00-2.00sec	4.00 MBytes	33.6 Mbits/sec                  
[  4]	2.00-3.00sec	4.00 MBytes	33.6 Mbits/sec                  
[  4]	3.00-4.00sec	4.38 MBytes	36.7 Mbits/sec                  
[  4]	4.00-5.00sec	3.88 MBytes	32.5 Mbits/sec                  
[  4]	5.00-6.00sec	4.38 MBytes	36.7 Mbits/sec                  
[  4]	6.00-7.00sec	3.75 MBytes	31.5 Mbits/sec                  
[  4]	7.00-8.00sec	4.25 MBytes	35.6 Mbits/sec                  
[  4]	8.00-9.00sec	3.88 MBytes	32.5 Mbits/sec                  
[  4]	9.00-10.00sec	4.50 MBytes	37.7 Mbits/sec                  
[  4]	10.00-11.00sec	4.25 MBytes	35.6 Mbits/sec                  
[  4]	11.00-12.00sec	4.38 MBytes	36.7 Mbits/sec                  
[  4]	12.00-13.00sec	4.50 MBytes	37.7 Mbits/sec                  
[  4]	13.00-14.00sec	4.62 MBytes	38.8 Mbits/sec                  
[  4]	14.00-15.00sec	5.00 MBytes	41.9 Mbits/sec                  
[  4]	15.00-16.00sec	4.50 MBytes	37.7 Mbits/sec                  
[  4]	16.00-17.00sec	4.62 MBytes	38.8 Mbits/sec                  
[  4]	17.00-18.00sec	4.12 MBytes	34.6 Mbits/sec                  
[  4]	18.00-19.00sec	3.75 MBytes	31.5 Mbits/sec                  
[  4]	19.00-20.00sec	3.38 MBytes	28.3 Mbits/sec                  
[  4]	20.00-21.00sec	3.62 MBytes	30.4 Mbits/sec                  
[  4]	21.00-22.00sec	3.88 MBytes	32.5 Mbits/sec                  
[  4]	22.00-23.00sec	3.62 MBytes	30.4 Mbits/sec                  
[  4]	23.00-24.00sec	3.88 MBytes	32.5 Mbits/sec                  
[  4]	24.00-25.00sec	3.62 MBytes	30.4 Mbits/sec                  
[  4]	25.00-26.00sec	3.38 MBytes	28.3 Mbits/sec                  
[  4]	26.00-27.00sec	3.50 MBytes	29.4 Mbits/sec                  
[  4]	27.00-28.00sec	3.88 MBytes	32.5 Mbits/sec                  
[  4]	28.00-29.00sec	4.38 MBytes	36.7 Mbits/sec                  
[  4]	29.00-30.00sec	3.62 MBytes	30.4 Mbits/sec                  
[  4]	30.00-31.00sec	3.88 MBytes	32.5 Mbits/sec                  
[  4]	31.00-32.00sec	2.75 MBytes	23.1 Mbits/sec                  
[  4]	32.00-33.00sec	2.50 MBytes	21.0 Mbits/sec                  
[  4]	33.00-34.00sec	2.38 MBytes	19.9 Mbits/sec                  
[  4]	34.00-35.00sec	2.50 MBytes	21.0 Mbits/sec                  
[  4]	35.00-36.00sec	3.62 MBytes	30.4 Mbits/sec                  
[  4]	36.00-37.00sec	3.38 MBytes	28.3 Mbits/sec                  
[  4]	37.00-38.00sec	2.88 MBytes	24.1 Mbits/sec                  
[  4]	38.00-39.00sec	2.12 MBytes	17.8 Mbits/sec                  
[  4]	39.00-40.00sec	3.12 MBytes	26.2 Mbits/sec                  
[  4]	40.00-41.00sec	3.12 MBytes	26.2 Mbits/sec                  
[  4]	41.00-42.00sec	2.88 MBytes	24.1 Mbits/sec                  
[  4]	42.00-43.00sec	2.25 MBytes	18.9 Mbits/sec                  
[  4]	43.00-44.00sec	3.88 MBytes	32.5 Mbits/sec                  
[  4]	44.00-45.00sec	3.75 MBytes	31.5 Mbits/sec                  
[  4]	45.00-46.00sec	3.00 MBytes	25.2 Mbits/sec                  
[  4]	46.00-47.00sec	3.38 MBytes	28.3 Mbits/sec                  
[  4]	47.00-48.00sec	3.62 MBytes	30.4 Mbits/sec                  
[  4]	48.00-49.00sec	3.50 MBytes	29.4 Mbits/sec                  
[  4]	49.00-50.00sec	3.38 MBytes	28.3 Mbits/sec                  
[  4]	50.00-51.00sec	3.38 MBytes	28.3 Mbits/sec                  
[  4]	51.00-52.00sec	3.50 MBytes	29.4 Mbits/sec                  
[  4]	52.00-53.00sec	3.62 MBytes	30.4 Mbits/sec                  
[  4]	53.00-54.00sec	2.62 MBytes	22.0 Mbits/sec                  
[  4]	54.00-55.00sec	3.12 MBytes	26.2 Mbits/sec                  
[  4]	55.00-56.00sec	3.25 MBytes	27.3 Mbits/sec                  
[  4]	56.00-57.00sec	2.88 MBytes	24.1 Mbits/sec                  
[  4]	57.00-58.00sec	3.50 MBytes	29.4 Mbits/sec                  
[  4]	58.00-59.00sec	3.38 MBytes	28.3 Mbits/sec                  
[  4]	59.00-60.00sec	2.38 MBytes	19.9 Mbits/sec                  
[  4]	0.00-60.00sec	218 MBytes	30.5
[  4]	0.00-60.00sec	217 MBytes	30.3
